rank,title,artist,album
1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
2,TOMBOY,(여자)아이들,I NEVER DIE
3,LOVE DIVE,IVE (아이브),LOVE DIVE
4,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
5,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
6,GANADARA (Feat. 아이유),박재범,GANADARA
7,취중고백,김민석 (멜로망스),취중고백
8,INVU,태연 (TAEYEON),INVU - The 3rd Album
9,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까
10,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
11,ELEVEN,IVE (아이브),ELEVEN
12,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
13,RUN2U,STAYC(스테이씨),YOUNG-LUV.COM
14,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
15,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY)
16,신호등,이무진,신호등
17,STAY,The Kid LAROI,Stay
18,존재만으로,원슈타인,스물다섯 스물하나 OST Part 4
19,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2
20,드라마,아이유,조각집
21,Step Back,GOT the beat,Step Back
22,strawberry moon,아이유,strawberry moon
23,MY BAG,(여자)아이들,I NEVER DIE
24,Next Level,aespa,Next Level
25,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3
26,사랑인걸,한동근,사랑인걸
27,Weekend,태연 (TAEYEON),Weekend
28,LOVE me,BE'O (비오),LOVE me
29,너를 생각해,주시크 (Joosiq),너를 생각해
30,어제처럼,폴킴,어제처럼
31,버퍼링 (Glitch Mode),NCT DREAM,Glitch Mode - The 2nd Album
32,내가 아니라도,주호,내가 아니라도
33,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In),"너, 너 (N번째 연애 X 휘인 (Whee In))"
34,호랑수월가,탑현,호랑수월가
35,Real Love,오마이걸 (OH MY GIRL),Real Love
36,눈이 오잖아(Feat.헤이즈),이무진,눈이 오잖아(Feat.헤이즈)
37,라일락,아이유,IU 5th Album 'LILAC'
38,abcdefu,GAYLE,abcdefu
39,"스물다섯, 스물하나",자우림,"Goodbye, grief."
40,Counting Stars (Feat. Beenzino),BE'O (비오),Counting Stars
41,Dynamite,방탄소년단,Dynamite (DayTime Version)
42,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집
43,Butter,방탄소년단,Butter
44,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT
45,Savage,aespa,Savage - The 1st Mini Album
46,Dreams Come True,aespa,Dreams Come True - SM STATION
47,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
48,Starlight,태일 (TAEIL),스물다섯 스물하나 OST Part 1
49,내 생에 아름다운,이예준,내 생에 아름다운
50,봄 사랑 벚꽃 말고,HIGH4 (하이포),봄 사랑 벚꽃 말고
